Title,Processor,RAM,Operating_System,Memmory,Warranty,Prices,Rating,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook Plus Laptop,Intel Celeron Quad Core Processor (12th Gen),8 GB LPDDR5 RAM,"WPS Office, Operating System Software",256 GB SSD,1 Year Onsite Warranty,"21,990",4,,,,
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) V15 G4 AMN 1 Thin and Light...,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,"27,490",4.3,,,,
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN /...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,1 Year Carry-in Warranty,"39,890",4.2,,,,
ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X1500EA-EJ311W Thin...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,1 Year Onsite Warranty,"28,990",4.2,,,,
Lenovo Ideapad Slim 1 Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 14IGL7 Laptop,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,2 Years Onsite�Warranty,"26,100",4.1,,,,
HP 255 G9 AMD Ryzen 3 Dual Core R3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Business Laptop,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD, ,"26,590",4.1,,,,
HP 14s Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,"37,726",4.3,,,,
Lenovo IdeaPad Slim1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ACL7 T...,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD, ,"35,990",4.2,,,,
HP AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Laptop,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,"33,490",4.2,,,,
ZEBRONICS Pro Series Z Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) ZEB-NBC 5S Thin...,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,1 TB SSD,1 Year Carry-in Warranty,"41,990",3.9,,,,
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Quad Core 5500H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,1 Year Carry-in Warranty,"47,990",4.2,,,,
Lenovo V15 Intel Celeron Dual Core 4th Gen - (8 GB/256 GB SSD/Windows 11 Home) 82QYA00MIN Laptop,Intel Celeron Dual Core Processor (4th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD, ,"21,990",4,,,,
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ993WS Thi...,Intel Core i3 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,"38,990",4.3,,,,
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-444IN T...,Intel Core i3 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD, ,"34,990",4.3,,,,
Apple 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,256 GB SSD, ,"71,990",4.7,,,,
ASUS Vivobook 14 (2023) Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) X1404VA-NK54...,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,"56,990",4,,,,
HP Laptop AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2212AU Thin and Light...,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,"32,999",4.3,,,,
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,Intel Celeron Quad Core Processor (12th Gen),8 GB LPDDR5 RAM,"WPS Office, Operating System Software",256 GB SSD,1 Year Onsite Warranty,"17,990",4,,,,
MSI GF63 Intel Core i5 12th Gen 12450H - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/8 GB Graphics/NVID...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,1 TB HDD|256 GB SSD,2 Year Carry-in Warranty,"79,990",4.4,,,,
DELL Inspiron 15 3520 Intel Core i5 12th Gen Core i5 - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 352...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,"52,800",4.1,,,,
Infinix X3 Slim Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) XL422 Thin and Light...,Intel Core i5 Processor (12th Gen),16 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,"36,990",4.1,,,,
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light La...,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,"36,000",4.2,,,,
"ASUS Vivobook Pro 15 For Creator, AMD Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home/4 G...",AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,"57,990",4.4,,,,
Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,"54,990",4.2,,,,
CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,Intel Celeron Quad Core Processor (12th Gen),8 GB LPDDR5 RAM,"WPS Office, Operating System Software",256 GB SSD,1 Year Onsite Warranty,"17,990",4,,,,
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Plus Laptop,Intel Celeron Dual Core Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,1 Year Onsite Warranty,"18,990",3.7,,,,
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) V15 G4 AMN 1 Thin and Light...,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,"27,490",4.3,,,,
ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X1500EA-EJ311W Thin...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,1 Year Onsite Warranty,"28,990",4.2,,,,
HP 14s Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,"37,726",4.3,,,,
MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-439IN /...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,1 Year Carry-in Warranty,"39,890",4.2,,,,
